Skill,Demand_Count,Average_Salary
Balancing (Ledger/Billing),449,125989.1692650334
SAP Implementation,449,125160.9977728285
Electronic Medical Record,449,108630.7995545657
Reference Architecture,448,128998.04464285714
IDoc (Intermediate Document),447,122278.92841163311
SAP FI,446,120411.67040358744
"
  SQL (Programming Language)
",446,112818.04932735427
Crystal Reports (Reporting Software),446,103169.83183856502
"Document-Oriented Databases
",445,118869.48539325842
"SAP FI/CO
",444,122654.17117117117
Creative Thinking,444,112958.3490990991
"Microsoft Visio
",443,127624.83972911965
Data Acquisition,442,111017.21493212669
Public Health,442,102746.10633484164
Public Cloud,442,146755.2669683258
Technology Ecosystems,442,142722.46153846153
Solution Delivery,442,136752.81674208146
"
  User Story",441,115446.22902494331
"
  C (Programming Language)",440,128306.54545454546
Configuration Management,440,121559.11818181818
"
  Agile Methodology",439,117380.49658314351
Data Store,437,121588.647597254
"Teradata SQL
",436,113327.10091743119
Internet Of Things (IoT),436,135512.82110091744
"
  Invoicing",436,118445.9243119266
Exploratory Data Analysis,435,112680.09885057471
Security Controls,435,116136.97701149425
"
  Continuous Improvement Process",434,117328.56451612903
Patience,434,113952.76958525345
"Financial Services
",432,116833.97916666667
Quality Improvement,431,105750.20881670533
Telecommunications,431,118512.78886310905
"
  Azure DevOps",430,117728.82325581396
Underwriting,430,112530.7023255814
Marketing Analytics,429,119734.2261072261
"Security Assertion Markup Language (SAML)
",428,129031.81775700934
"
  Statistical Software",428,106314.71261682243
Utilization Management,428,108193.80373831776
Engineering Design Process,426,120324.00938967137
Object-Oriented Programming (OOP),426,120379.57276995305
"Surveys
",424,98265.46933962264
"Disaster Recovery
",423,134323.6477541371
Oil and Gas,423,119988.0780141844
Diplomacy,422,124009.47156398105
Supply Chain Software,420,122375.7119047619
Contract Review,420,148097.95952380952
MapReduce,419,168222.21479713602
Supply Chain Acumen,419,138593.3890214797
Filing,419,99472.76849642005
"
  SAP Fiori",418,120957.28229665072
Release Management,418,124324.61004784689
External Auditing,418,112661.35885167464
Front End (Software Engineering),418,123745.90669856459
"
  Financial Statements",418,113948.74880382775
SAP Concur (Travel And Invoice Software),417,121219.72182254196
Editing,417,102687.40527577938
Process Flow Diagrams,416,117805.36778846153
Equities,415,116223.96144578313
Star Schema,415,122010.58313253013
Netezza,413,113326.92493946731
Go-to-Market Strategy,413,133903.3268765133
Development Environment,412,114837.35436893204
Financial Consolidations,411,129805.8905109489
"Business Strategies
",411,117063.34306569344
"
  Data Analysis",411,105611.42822384428
Project Documentation,410,114118.49756097561
Application Lifecycle Management,409,139495.0586797066
Hardware Description Language (HDL),408,119596.69362745098
Encryption,408,122997.11519607843
Bitbucket,407,120156.46683046683
Synapse Citrix,407,125087.0515970516
Lifting Ability,407,101703.08845208846
Physics,406,116963.5763546798
Spotfire (Data Analytics Software),405,117240.94320987654
"System Requirements
",404,121292.40346534654
"
  Functional Requirement",403,116263.76674937965
Alation Data Catalog,402,127434.28358208956
Infor Software,402,115154.815920398
Oracle Hyperion Planning,400,132801.7
"Self-Motivation
",400,109324.255
SAP NetWeaver,399,122150.57142857143
"
  BRFplus",399,119931.33082706766
Operational Performance Management,399,108540.14786967418
Refining,399,110260.99749373434
"Self-Discipline
",399,112856.50125313284
Firewall,398,120868.25125628141
Windows Servers,398,115789.06532663316
E-Commerce,398,126548.52763819095
Real Estate,398,133708.79899497487
Developing Training Materials,397,113445.12594458439
Cross-Functional Collaboration,397,124220.56423173804
Online Analytical Processing,397,119438.22166246851
Administrative Functions,397,96349.56171284635
Microsoft Dynamics 365,396,116122.101010101
Business Economics,396,112443.65909090909
Creative Problem Solving,396,110835.52777777778
Oracle Business Intelligence (BI) / OBIA,395,115409.30126582278
Google Sheets,395,107967.16202531646
Qlik Sense (Data Analytics Software),394,114994.56091370559
"
  Six Sigma Methodology",394,116408.46700507615
TensorFlow,392,127112.14285714286
"
  Microsoft Outlook",392,104310.73724489796
"
  Spreadsheets",392,101251.75765306123
Database Application,391,105080.0179028133
Account Reconciliation,391,133954.27621483375
"SAP ERP
",390,120733.2
General Data Protection Regulation (GDPR),389,119455.86375321337
"
  Governance",389,127387.74035989717
CPT Coding,388,100274.9587628866
Social Sciences,388,97495.05670103093
Data Discovery,387,115167.82428940569
Customer Engagement,385,115091.5974025974
"Data Governance
",384,115798.11979166667
"
  SQL Server Integration Services (SSIS)",383,112297.227154047
Coupa (Spend Management Software),383,119882.56919060052
"
  Office Equipment",383,108825.60835509139
"
  Microsoft Excel
",381,98096.17322834645
Perl (Programming Language),380,127780.60789473684
Descriptive Analytics,380,113084.82105263158
Design Specifications,380,118578.37368421053
"SAS (Software)
",379,106966.84432717678
Issue Management,378,121162.68783068784
Software Architecture,378,146955.43386243386
Data Wrangling,378,112856.14021164022
Design Elements And Principles,376,122381.27393617021
Enterprise Application Integration,375,127086.85333333333
Record to Report (R2R),374,136453.63368983957
DataOps,372,104996.76075268818
"Anaplan
",371,123066.30188679245
Cloud Security,371,138858.56603773584
Control Objectives For Information And Related Technology (COBIT),370,125250.7054054054
Amazon Elastic Compute Cloud,370,134325.5891891892
Product Strategy,370,133951.4891891892
Security Policies,370,113540.32432432432
JQuery,369,118978.17073170732
Technical Analysis,369,118112.42818428185
"Process Improvement
",369,106368.82655826559
"Amazon S3
",368,122367.42663043478
Business Technologies,368,127934.67391304347
Decision Support Systems,368,123442.02445652174
Blueprinting,367,122078.37329700272
Quantitative Data Analysis,366,107322.03005464481
Knowledge Management,366,126037.9344262295
"Windows PowerShell
",365,116056.82739726028
Incident Management,365,115366.74246575343
Taxonomy,365,134303.33150684932
Process Mapping,365,119232.29315068493
Bank Secrecy Act,363,108029.81267217631
Data Ingestion,363,118290.54820936639
Packaging And Labeling,363,116305.38292011019
SAP Fiori,362,119431.06077348067
"
  Unified Modeling Language",360,129998.0611111111
Managed Services,360,142298.91666666666
Functional Testing,359,117192.76323119776
Administrative Support,359,96922.51810584958
Energetic,359,111987.12256267409
Revenue Recognition,358,126565.61731843576
Emotional Intelligence,358,117699.3938547486
Cloud-Native Architecture,357,140493.1988795518
Microwaves,357,118723.12885154062
"
  Self-Motivation",357,110356.65826330532
"
  Pivot Tables And Charts",356,112729.17696629213
Research Methodologies,355,100060.67042253522
A/B Testing,355,120578.97464788733
Population Health,354,110434.7231638418
Streamlining,354,123356.95197740113
Virtualization,354,140245.7966101695
Bill Of Materials,354,117838.79096045198
Client Services,353,129252.33144475921
Incident Response,352,116286.73295454546
Product Engineering,352,136745.08238636365
External Reporting,352,98176.77556818182
"
  Collections",352,115944.97159090909
Human Capital Management (HCM),350,122880.24857142857
"
  Digitization",350,129594.98857142858
"Strategic Planning
",350,122189.42285714285
"
  Relationship Building",349,118612.34383954154
"Oracle E-Business Suite
",348,120154.28735632185
Help Desk Support,348,100615.21551724138
Conflict Resolution,348,129807.95689655172
ASC X12 Standards,347,114598.8097982709
Containerization,347,134919.59365994236
Sales Support,346,119184.12138728323
"
  Atlassian Confluence",345,109334.45507246377
Shiny (R Package),344,112626.71220930232
Epidemiology,344,103824.73837209302
"Architectural Design
",343,136292.16326530612
Financial Close,343,135468.56268221574
Sales Proposals,343,173729.99125364432
"
  Innovation",343,111336.22448979592
Data Recording,342,172025.59356725146
"Public Service
",342,143424.18713450292
Talend,341,122454.04692082111
Aurora (Operating System),341,127971.19354838709
Rapport Building,341,111731.41348973606
Project Portfolio Management,340,137817.65588235293
Quantitative Research,340,105188.19117647059
"
  Coaching",340,139692.20882352942
Microsoft Dynamics,339,114291.99410029498
Cloud Infrastructure,339,131618.4867256637
Cost Benefit Analysis,339,123376.85545722714
"Artificial Intelligence
",339,131707.4867256637
"Data Integrity
",339,108115.12979351032
Database Storage Structures,338,112060.20118343196
Statistical Programming,338,108801.50887573964
"Risk Appetite
",338,117972.59467455621
Performance Measurement,338,112298.62426035503
MLOps (Machine Learning Operations),337,126897.59050445104
Virtual Teams,337,124682.72106824926
Network Security,335,124370.36119402986
UiPath (RPA Software),333,122511.84984984985
Technical Standard,333,122346.68768768769
Enterprise Security,333,121939.2972972973
"Organizational Skills
",333,108944.72072072072
Tactfulness,333,103173.13813813814
Team Oriented,329,135262.88753799393
Oracle Payroll,328,113741.78353658537
"
  Finance",328,115935.43902439025
Agile Software Development,328,123427.4237804878
Regulatory Requirements,327,134479.73394495412
Loans,327,107333.72171253823
Data Management Platforms,326,118298.34355828221
Hybrid Cloud Computing,326,134190.42024539877
Contract Management,326,108676.84662576688
"
  OneStream (CPM Software)",325,123450.10153846155
Network Routing,325,116733.73846153847
Policy Development,324,114334.70987654322
"
  Object-Oriented Programming (OOP)",324,181190.12962962964
"
  Merchandising",324,116689.66049382716
Configuration Management Databases,323,120495.68421052632
"
  Vendor Relationship Management",323,122362.48606811145
Generally Accepted Accounting Principles,322,120174.14596273292
Strategic Prioritization,322,129032.18633540372
.NET Framework,321,116493.6261682243
Scikit-Learn (Python Package),321,128563.17133956387
Digital Marketing,321,112786.06230529596
SAP CRM,320,129802.24375
Stakeholder Communications,320,138757.0
Peer Review,319,117095.47021943574
"
  Lifecycle Management",319,129667.60815047022
Disaster Recovery,319,125149.05956112852
Clerical Works,318,90925.8427672956
"
  Extensible Markup Language (XML)",316,116554.1170886076
"Relationship Management
",316,135685.3829113924
Data Flow Diagram,314,115152.1178343949
Application Portfolio Management,314,151103.65923566878
"Teaching
",314,106702.29617834395
"Information Gathering
",314,113592.30891719746
Technical Training,313,109769.14696485623
Event-Driven Programming,312,144928.16987179487
Consumer Behaviour,312,112563.60576923077
Technical Debt,312,141532.4935897436
"Influencing Skills
",312,128134.28846153847
Account Management,311,113924.71704180064
Powerapps,310,115398.04193548387
Service Management,310,133605.35483870967
"Process Mapping
",309,115329.20064724919
IT Governance,307,121362.57003257329
Talent Recruitment,307,127443.06188925082
Human Resources Information System (HRIS),306,114152.49019607843
Observability,306,141503.55555555556
SQL Server Management Studio,305,108072.00327868853
"
  Troubleshooting (Problem Solving)
",305,115052.97049180328
Project Management Software,304,117193.88157894737
Machine Learning Algorithms,304,114497.24013157895
Medical Devices,304,127962.4375
"Knowledge Transfer
",304,119175.05592105263
Apple IOS,303,121089.67656765676
Applied Mathematics,303,112226.22772277228
Process Management,301,114530.43189368771
AWS CloudFormation,300,130290.96
Workflow Automation,300,114521.01333333334
Regression Testing,300,117360.29
Technical Acumen,300,108834.34666666666
System Support,299,115841.51839464883
Legacy System Migration Workbench,298,119216.92953020135
Business Priorities,298,123079.43288590603
Statistical Hypothesis Testing,298,111627.1711409396
Schema Markup,297,113062.27946127947
Process Modeling,297,115148.26262626263
Systems Development,297,121470.60269360269
Life Sciences,297,132659.74747474748
"Strategic Thinking
",297,127218.2760942761
"
  SAP EWM",296,128613.60135135135
Wealth Management,295,128404.45762711864
Process Analysis,295,114121.67796610169
Profit And Loss (P&L) Management,295,123351.04745762712
Organizational Structure,293,119249.21843003413
Sales Operations,292,116785.43150684932
Data Storytelling,292,112268.94863013699
Enthusiasm,292,106123.12671232877
Robotic Process Automation,291,129957.72164948453
"
  SAP HANA",290,120366.25862068965
"
  Electronic Medical Record",290,108616.21379310345
"
  Enthusiasm",290,113372.09310344828
"
  SAP SuccessFactors",289,133101.17647058822
Full Stack Development,289,158192.2525951557
"
  Writing",289,121578.47750865053
Cooperation,289,112571.95155709343
Project Stakeholders,288,114168.97916666667
"JSON
",287,121202.08710801393
Return On Investment,287,124655.64111498257
"Governance
",287,120273.05574912892
Internal Reporting,286,106204.23076923077
Data Control,285,126607.96842105263
Field Service Management,285,138636.07368421054
PyTorch (Machine Learning Library),284,129222.78873239437
Role-Based Access Control (RBAC),284,117514.42957746479
Lifecycle Management,283,123570.11660777385
"
  Safety Assurance",283,115381.9187279152
"SAP Security
",282,123038.95390070922
Infrastructure as Code (IaC),282,132960.10992907803
Backup Devices,282,120463.18794326241
Public Administration,281,106369.61209964413
Team Management,281,130382.61565836299
"Relational Database Management Systems
",280,119923.55
Export Control,280,121409.81428571428
Architecture Framework,280,130810.88571428572
Pricing Strategies,280,152772.74642857144
Dell Boomi (Integration Platform),279,126060.98566308244
Durable Goods,279,115024.0
Natural Language Processing (NLP),279,121100.72401433691
"
  Data Reporting",279,109551.62365591398
SAP NetWeaver Data Management,278,120052.58273381295
Unix Shell,278,120946.99280575539
Transportation Management Systems,278,119824.24100719424
Employee Onboarding,278,120694.22661870504
Subcontracting,278,114091.35251798561
"Business Development
",278,126477.18705035972
Data Domain,277,125498.31407942239
"Report Writing
",277,108504.04332129964
SQL Azure,275,117507.25818181818
"
  Mitigation",275,129001.52
Application Performance Management,275,132032.14545454545
Active Listening,275,114455.24363636364
Self-Discipline,275,111011.98909090909
Manufacturing Execution System (MES),274,121622.04744525548
Transportation Management,274,122923.06204379562
"Version Control
",274,114021.49270072993
"Lean Manufacturing
",273,117629.16117216117
"Extract Transform Load (ETL)
",273,118307.5750915751
"
  Analytic Applications",272,97040.50367647059
Outliers,272,106942.43014705883
Hadoop Distributed File System (HDFS),271,135748.14022140222
"
  SAP Warehouse Management",271,119533.46863468635
Oracle Forms,271,115790.9483394834
"
  Profit Center Accounting",270,119197.53333333334
Apache Cassandra,269,135718.35687732341
Cross-Functional Team Leadership,269,133886.9591078067
Dimensional Modeling,269,115052.65799256506
Revenue Management,269,131852.90706319702
Fundraising,269,107677.13011152417
Higher Education,269,112435.47583643123
"
  Workday (Software)",268,116093.10074626865
"
  Operating Systems",268,110391.53358208956
Wholesaling,268,121781.10820895522
"
  Data Science",268,113746.80597014926
"
  Statistics",268,110921.39179104478
Operational Databases,267,116283.64794007491
NumPy (Python Package),266,116401.18421052632
Cloud Migration,266,132010.1917293233
Market Data,266,120417.56390977444
Financial Forecasting,266,119794.7067669173
"Resilience
",266,127452.58646616542
"
  SAP FI/CO",265,118861.65660377359
"
  Data Analysis
",265,110354.96226415095
AWS Glue,264,128928.56818181818
"Information Technology Infrastructure Library
",264,118094.76515151515
"
  Application Data",264,130943.88257575757
"Business Intelligence
",263,113784.73003802281
Open Data Protocol (OData),263,120918.57034220532
IBM WebSphere MQ,262,120364.86259541985
IBM Cloud Computing,262,117371.40458015267
Network Infrastructure,262,140694.46183206106
Logistics,262,111463.74045801527
Problem Management,261,119029.46360153257
Data Definition Language,261,114724.37164750957
Agile Project Management,260,115664.93846153846
Project Management Institute (PMI) Methodology,260,120224.48846153847
"
  Oracle Human Capital Management (HCM)
",259,136139.7413127413
Web Analytics,259,114484.03088803089
Performance Appraisal,259,124912.12355212355
Digital Technology,259,121074.9305019305
"Value Propositions
",259,130765.8918918919
Memos,259,109838.5057915058
AWS SageMaker,258,122304.56589147287
Nursing,258,104414.32170542635
IT Capacity Management,258,133092.26744186046
Settlement,258,117288.3449612403
Azure Functions,257,117674.58365758754
Data Compilation,257,104983.84824902724
"
  Operations
",257,116479.56809338521
PHP (Scripting Language),256,121686.6171875
Oracle Business Intelligence Enterprise Edition,256,118135.8203125
Jupyter,256,116412.375
Technical Services,256,124112.3515625
Biology,256,104495.7421875
"Relationship Building
",256,129337.10546875
Performance Testing,255,123728.21960784314
Data Retrieval,255,110625.52549019607
Ansi Sql,254,123553.73228346456
"Business Software
",254,121101.48818897638
Mortgage Loans,254,108545.12204724409
z/OS,253,119637.65217391304
"
  Collibra (Software)",252,118856.13492063493
Data Synthesis,252,112808.58730158731
Database Queries,252,106718.17857142857
"Industrial Engineering
",252,125495.60317460318
Fortinet,251,120941.81673306772
Architectural Leadership,251,126994.593625498
Process Engineering,251,125038.50996015937
Software Testing,251,116957.8406374502
Data Literacy,251,114797.26693227091
Ideation,251,134913.09561752988
Hybris,250,127069.608
Amazon DynamoDB,250,127505.8
ASP.NET,250,119168.488
Strategic Partnership,250,129073.572
Resource Planning,250,118700.952
"
  SAP ERP",249,122639.23694779117
"Critical Thinking
",249,117702.00803212852
"
  Microsoft Dynamics CRM",248,114030.29032258065
SAP Best Practices,247,123499.87044534413
Private Cloud,247,146720.96761133603
API Management,246,135059.0569105691
Data Capture,246,118658.3861788618
Deep Learning,246,124324.78861788618
Student Information Systems,245,93165.59591836734
Quantitative Modeling,245,98993.54285714286
SQL Server Oracle,244,116005.72131147541
"
  SAP BusinessObjects",243,118080.30041152264
Matplotlib (Python Package),243,114058.48559670782
Oracle Essbase,242,117220.06611570247
Asynchronous Javascript and XML (AJAX),242,121917.76033057852
"
  Technical Writing",242,133500.40082644628
Dealing With Ambiguity,242,128149.13636363637
Securities (Finance),241,121338.64315352697
Electrical Engineering,241,129446.73029045643
Organizational Performance,241,114622.12033195021
"Business Technologies
",241,144460.35684647303
"
  Quality Control",241,105319.61410788381
"Multitasking
",241,106425.17012448133
Eclipse (Software),240,121539.20833333333
"Business Process Modeling
",240,117044.40833333334
Progress Reporting,240,119741.25833333333
Manufacturing Processes,239,116985.85774058578
"
  Data Validation",239,107672.0209205021
Local Area Networks,239,122723.85774058578
"Natural Sciences
",239,121859.21338912135
Redis,238,143975.27731092437
Human Services,238,106936.35294117648
"
  Business Analytics",238,109291.59663865546
Pre-Sales Engineering,237,137852.83544303797
Cluster Analysis,236,117593.40677966102
Constructive Feedback,236,105378.63983050847
Outsourcing,235,163885.39574468086
Health Informatics,235,101552.38723404256
Unified Modeling Language,234,132397.09829059828
"
  Performance Analysis",234,116072.23076923077
Data Consistency,234,121243.39316239316
Balance Sheet,234,117313.61111111111
Anti Money Laundering,234,120033.32905982906
People Management,234,138845.05555555556
"SAP Knowledge Warehouse
",233,137897.48497854077
Mobile Application Development,233,131699.08583690986
Risk Management Framework,233,121985.72532188841
"Database Systems
",232,102604.68534482758
"PL/SQL
",232,116666.1551724138
Red Hat Enterprise Linux,232,135272.24568965516
People Analytics,232,110588.96120689655
Biostatistics,232,106503.41810344828
Multi-Cloud,232,140614.21120689655
Persuasive Communication,232,124175.98706896552
"Microsoft Power Automate
",231,108121.41991341992
Elasticsearch,231,136626.9393939394
Database Tuning,231,128593.09523809524
System Requirements,231,124670.83982683983
Internet Services,231,125162.0432900433
Total Cost Of Ownership,231,131494.45887445888
"
  Operations",231,116627.76623376623
Stakeholder Engagement,230,121858.90869565218
Scalability Design,230,135482.98260869566
Query Optimization,229,128447.07423580786
Restructuring (Business),229,128961.21397379912
System Monitoring,229,114035.32751091704
Cyber Threat Intelligence,229,128378.6768558952
Record Keeping,229,98634.31441048035
"
  Ability To Meet Deadlines",229,126999.94759825327
Visualforce,228,131263.7105263158
Application Configuration Access Protocols,228,117002.39035087719
Data Curation,228,118301.36403508772
Claims Processing,228,111601.71929824562
Database Software,227,101071.53303964758
Amazon CloudWatch,227,140166.53744493393
ISO/IEC 27001,227,122336.78854625551
IBM Cognos Business Intelligence,226,111736.06194690266
Apache Tomcat,226,120551.18584070797
Project Coordination,226,111977.60619469026
System Integration Testing,226,121229.26991150442
Research Design,226,109163.76991150442
Data Quality Assessment,226,110745.5575221239
Requirements Management,226,119150.36725663717
Due Diligence,226,118686.67256637168
"
  Software Design",226,126504.25221238939
SnapLogic,225,129448.33777777778
SAP Solution Manager,225,118226.56888888888
Data Import/Export,225,109790.84
Workforce Planning,225,134967.67555555556
Wide Area Networks,225,127729.02222222222
"Microsoft Access
",224,99361.77678571429
Knowledge-Based Configuration,224,118004.66071428571
Learning Management Systems,224,98181.9375
"SAP FI
",224,122162.11160714286
"Warehouse Management
",224,120604.0
Computing Platforms,223,120223.6726457399
Business Risk Management,223,110651.96860986546
"
  Sales
",223,113850.74887892377
Digitization,223,132668.61434977577
Data Interfaces,222,113509.45495495496
Medical Terminology,221,96436.83257918552
Software Deployment,221,143447.4886877828
Team Foundation Server,220,117003.37272727273
Oracle iProcurement,220,153206.58181818182
Operational Reporting,220,113893.57727272727
Process Development,220,108833.95
Real Time Data,220,129043.15
Database Architecture,220,124806.04090909091
Medical Coding,220,98649.84545454546
Qualitative Analysis,220,111160.76818181819
SAP Supplier Relationship Management (SAP SRM),219,119978.44748858447
Security Assertion Markup Language (SAML),219,115477.20547945205
Active Server Pages (ASP),219,112118.57534246576
"SAP Transportation Management (TM)
",219,129688.75799086758
"
  Oracle E-Business Suite
",219,119825.71232876713
Software Quality (SQA/SQC),219,123735.22831050228
Business-To-Consumer,219,130344.88127853881
Process Control,219,115605.14611872146
Business Reporting,219,115377.88127853881
Apache Subversion,218,115056.41284403669
Data Classification,218,118681.1376146789
Vendor Relationship Management,217,122412.96774193548
Sales Management,217,94522.90783410138
Serverless Computing,217,137934.5668202765
"
  Crystal Reports (Reporting Software)",216,101019.2824074074
Information Technology Architecture,216,135585.90277777778
Training Documentation,216,115894.87037037036
"Information Architecture
",216,134173.8564814815
Demand Management,216,120374.86574074074
Calculators,216,107492.43055555556
Software Adapters,215,124732.85581395349
Oracle Application Framework (OAF),214,113931.40186915887
"
  Google Sheets",214,107577.4859813084
"
  Order Management",214,120710.57009345795
Business Communication,214,110576.60747663552
Information Governance,214,126639.0046728972
"
  Planning
",214,116856.82242990655
Telecommuting,214,116539.64953271027
"
  Firewall",213,120975.18309859154
"SQL Server Reporting Services
",213,108281.7089201878
Data Sharing,213,113143.25352112677
Behavioral Health,213,103429.49765258215
Issue Tracking,213,112770.53990610328
SAP Transportation Management (TM),212,123079.19811320755
HEDIS (Healthcare Effectiveness Data And Information Set),212,106236.76886792453
Project Controls,212,122169.55660377358
Third-Party Logistics,212,123987.18396226416
Geography,212,112866.60377358491
Grammar,212,105649.80188679245
"Warehouse Management Systems
",211,120305.44549763034
Surveys,211,102892.4028436019
Online Transaction Processing,211,124528.25118483412
System Software,210,115316.69047619047
Android (Operating System),210,121417.08095238096
"Project Implementation
",210,123755.97142857143
Microsoft Windows,209,110715.67942583733
Custom Software,209,127952.66028708134
"
  Data Infrastructure",209,148935.15311004786
"
  Data Cleansing",209,102283.41626794258
"
  Code Review",209,122187.79425837321
Leadership Studies,209,118627.95215311005
"
  Power BI
",208,98435.11538461539
"
  Human Resources Information System (HRIS)",208,112578.50961538461
"
  Reporting Tools",208,113969.48557692308
"Forecasting
",208,110079.31730769231
Chatbot,207,117842.62801932367
"
  DoDAF",207,126123.63285024154
Adobe Experience Manager,206,134594.2427184466
OpenStack,206,116303.30097087378
International Financial Reporting Standards,206,123593.41262135922
Accounting Information Systems,206,117700.61650485436
Puppet (Configuration Management Tool),205,153711.73658536584
"Zachman Framework
",205,130390.77073170732
Curiosity,205,113220.02926829268
"Planning
",205,120737.0243902439
Okta,204,115306.00980392157
"
  Regression Testing",204,114680.74509803922
Discrete Manufacturing,204,120973.44117647059
"
  Inventory Staging",203,125522.30541871922
User Research,203,119680.77339901478
Environment Health And Safety,203,125323.2315270936
Brainstorming,203,130560.74384236454
"
  BigQuery",202,112673.99504950496
Engineering Management,202,156590.801980198
Information Technology Management,202,115806.92574257425
"
  Data Mining",202,101878.76732673268
Honesty,202,112693.19306930693
Compliance Reporting,201,116166.52736318408
"Systems Engineering
",201,131544.32835820896
Health Administration,200,109657.325
"
  Financial Systems",200,114576.15
Resource Utilization,200,126351.065
Supervision,200,114830.22
Product Support,199,110456.11055276381
Marketing Strategies,199,114690.92462311558
Data Maintenance,198,106935.95959595959
"Economics
",198,141421.60606060605
Investment Decisions,198,142084.07575757575
Decision Science,197,124227.70558375634
Entity Relationship Models,197,118523.27918781726
IBM Maximo,196,150942.60204081633
Sprint Planning,196,125711.49489795919
SAP APO,195,120909.11794871795
Zachman Framework,195,139954.36923076923
"User Information
",195,78701.85128205128
Program Development,195,116777.6358974359
"Project Accounting
",195,117602.07692307692
Security Information And Event Management (SIEM),195,116791.9076923077
Computer Networks,195,121253.5076923077
Post-Production,195,119468.39487179487
Visualization,195,118334.95384615385
Interface Design,194,117184.09793814433
Text Mining,194,107232.55154639175
"Project Management Software
",193,112354.95336787564
Governance and Compliance Strategy,193,109797.0310880829
Document Management Systems,192,103640.08333333333
ICD Coding (ICD-9/ICD-10),192,103667.53645833333
"User Feedback
",192,121474.52083333333
Big Data Analytics,192,114010.96354166667
Regression Analysis,192,113206.52604166667
"
  SAP Logistics",191,118725.21465968587
Performance Analytics,191,129103.42931937173
Business Process Management,191,122089.19895287958
"
  Governance Risk Management And Compliance",191,116566.79581151833
Visionary,191,134270.83769633507
Multilingualism,191,92292.7329842932
RStudio,190,108977.88421052632
"
  Information Technology Consulting",190,134952.52631578947
Business Statistics,190,104981.37894736842
Business Support Systems,190,113538.62631578947
"Java (Programming Language)
",189,121696.7671957672
Adobe Target,189,132600.24338624338
Social Work,189,95004.07936507936
Salesforce Marketing Cloud,188,131552.90425531915
Microsoft Dynamics GP,188,110574.6914893617
"
  C++ (Programming Language)",188,134036.9840425532
Corporate Strategy,188,126653.99468085106
Snowflake Schema,188,118908.18085106384
Database Development,188,112646.29787234042
"
  Business Process",188,113546.68617021276
Month-End Closing,188,117438.23936170213
Bootstrap (Front-End Framework),187,115089.1871657754
Project Management Life Cycle,187,123294.9679144385
Statistical Reporting,187,96826.52406417113
Information Organization,187,106260.97860962567
Goal Setting,187,118907.37967914439
Ruby (Programming Language),186,129303.72043010753
"Database Management
",186,97655.15053763441
Usability Testing,186,114572.99462365592
Project Schedules,186,115163.89247311828
Strategic Analysis,186,118728.1182795699
Business Logic,186,112902.13978494624
Azure Active Directory,185,117320.75675675676
Public Service,185,161077.3027027027
Program Evaluation,185,98033.07027027027
Enterprise Architecture Framework,185,131866.77837837837
"
  Leadership
",185,120122.54054054055
"Microsoft Windows
",184,117806.77173913043
Cloud-Native Applications,184,138498.8260869565
Enterprise Integration,184,142391.55434782608
Computer Programming,184,100979.29347826086
Psychology,184,94692.66847826086
Behavioral Analytics,184,116882.14673913043
"
  Project Management",184,116132.28804347826
ArchiMate,184,129895.57065217392
Project Management Office (PMO),184,118397.86956521739
"Persuasive Communication
",184,128699.79891304347
GraphQL,183,131856.10928961748
Matillion,183,126664.30601092897
SAP Functional,183,118922.57923497268
SAP Process Integration,183,119440.3169398907
Case Management,183,105350.45901639345
Appeals,183,125838.9344262295
Public Policies,183,101320.69398907103
Data Intelligence,183,119390.69398907103
Research And Development,182,122149.82417582418
Proofreading,182,108215.88461538461
Data Encryption,182,115272.34065934065
Health Level Seven (HL7),182,114663.63186813187
"
  Consulting",182,141043.28021978022
Category Management,181,103448.24861878454
Financial Technology (FinTech),181,120693.69060773481
"
  Microsoft SQL Servers",180,112758.36111111111
Primavera (Software),180,129531.44444444444
Oracle Database Administration (DBA),180,141353.56666666668
Biotechnology,180,123510.68333333333
"Human Capital
",179,140469.16759776536
Data Mart,179,110228.29608938548
Web Development,179,107452.52513966481
Oncology,179,118697.4972067039
"
  Business Analysis",179,113693.07821229051
Extensible Stylesheet Language Transformations (XSLT),178,122175.17977528089
"Data Strategy
",178,123185.41573033707
Program Process Monitoring,178,154533.10674157302
Actuarial Science,178,122778.5786516854
"Quick Learning
",178,105133.82584269663
"
  SAP NetWeaver Data Management",177,118710.56497175142
Medical Insurance Claims,177,115646.87005649718
"
  Systems Engineering",177,118597.04519774011
Distributed Computing,177,131467.4293785311
"
  Troubleshooting (Problem Solving)",177,118514.54237288136
Business Process Model And Notation,176,128100.07954545454
Computer Literacy,176,98978.56818181818
SAP Logistics,175,117511.42857142857
"
  Value Creation",175,125349.56
Secondary Source Information,175,107999.27428571429
FedRAMP,175,119754.67428571428
Commercial Banking,175,116587.32571428572
Hibernate (Java),174,120649.1724137931
"
  Erwin (Data Modeling Software)",174,117798.6091954023
Systems Modeling Language,174,132599.66666666666
"
  Informatica",174,116055.45977011495
Enterprise Risk Management (ERM),174,116572.97701149425
Data Warehouse Architectures,173,116839.13294797688
Datadog,173,140930.3005780347
API Design,173,130946.4739884393
Continuous Delivery,173,130965.27167630057
Revenue Growth,173,133872.36416184972
Physical Inventory,172,117145.68023255814
Writing Systems,172,108709.29651162791
"
  Sales Process",172,120561.16279069768
